title,description,code,coupon_type,discount_type,discount_value,store,store_url,category,start_date,expiry_date,original_price,sale_price,affiliate_link,image,terms_conditions,is_featured,is_verified,is_exclusive,status
AbhiBus ABHI500 - Save Rs.500 (New 10% up to 250 + Cashback / Existing Cashback),"CouponDunia (25 uses, 73% success): save Rs.500. New: 10% up to Rs.250 instant + 100% up to Rs.250 AbhiCash. Existing: up to Rs.500 AbhiCash (redeem 5% up to Rs.25 future). No min, logged-in, private only, once per user.",ABHI500,code,flat,500,AbhiBus,https://www.abhibus.com,Travel & Hotels,2026-09-14,2026-09-30,,,https://www.abhibus.com/bus-ticket-offers,https://cdn.grabon.in/gograbon/images/merchant/1773237383366/abhibus-logo.jpg,"Logged-in, once per user, private only. Source: https://www.coupondunia.in/abhibus",1,1,0,1
AbhiBus ABHIFIRST - Up to Rs.500 OFF 1st Booking (15% up to 150 + Cashback),"Official AbhiBus + CouponDunia (67% success): up to Rs.500 OFF 1st booking - 15% up to Rs.150 instant + 10% up to Rs.225 cashback + Rs.125 voucher chance. New users, private only.",ABHIFIRST,code,flat,500,AbhiBus,https://www.abhibus.com,Travel & Hotels,2026-09-14,2026-09-30,,,https://www.abhibus.com/bus-ticket-offers,https://cdn.grabon.in/gograbon/images/merchant/1773237383366/abhibus-logo.jpg,"New users, 1st booking, private only. Till Sep 30, 2026. Sources: abhibus.com/bus-ticket-offers + coupondunia.in/abhibus",1,1,0,1
"AbhiBus ADMABHI9 - Rs.150 OFF + Rs.150 Cashback (New, Min Rs.400, Private)","CouponDunia (89 uses today, 77% success): Rs.150 OFF + Rs.150 AbhiCash with ADMABHI9. New users, min Rs.400 ex-tax/fee, private only.",ADMABHI9,code,flat,300,AbhiBus,https://www.abhibus.com,Travel & Hotels,2026-09-14,2026-09-30,,,https://www.abhibus.com/bus-ticket-offers,https://cdn.grabon.in/gograbon/images/merchant/1773237383366/abhibus-logo.jpg,New users. Min Rs.400. Private only. Source: https://www.coupondunia.in/abhibus,1,1,0,1
"AbhiBus GRAB400 - 15% up to Rs.150 + Rs.150 Cashback (1st Booking, Min Rs.400)","GrabOn exclusive (654 uses today, 100% success, validated Sep 14 2026): 15% up to Rs.150 instant + Rs.150 AbhiCash cashback with GRAB400. Min Rs.400 ex-fees/tax. 1st booking, private buses only, not RTCs.",GRAB400,code,percentage,15,AbhiBus,https://www.abhibus.com,Travel & Hotels,2026-09-14,2026-09-30,,,https://www.abhibus.com/bus-ticket-offers,https://cdn.grabon.in/gograbon/images/merchant/1773237383366/abhibus-logo.jpg,"1st booking. Min Rs.400. Private only, not RTCs. Once per user. Till Sep 30, 2026. Source: https://www.grabon.in/abhibus-coupons/",1,1,1,1
AbhiBus Ganesh Utsav Sale - 20% up to Rs.250 + 20% Cashback up to Rs.250,Official AbhiBus Sep 2026 banner (1789048504): Ganesh Utsav Sale - 20% up to Rs.250 OFF + 20% cashback up to Rs.250 on bus bookings. Also Assured variant same value.,,deal,percentage,20,AbhiBus,https://www.abhibus.com,Travel & Hotels,2026-09-14,2026-10-14,,,https://www.abhibus.com/bus-ticket-offers,https://cdn.grabon.in/gograbon/images/merchant/1773237383366/abhibus-logo.jpg,Limited festive period Sep 2026. Source: https://www.abhibus.com/bus-ticket-offers,1,1,0,1
"AbhiBus ABHIPARTY - Flat Rs.250 OFF Group Booking (3+ Seats, Min Rs.2500)","CouponDunia (100% success): flat Rs.250 OFF group booking with ABHIPARTY. 3+ seats, min Rs.2500, private only.",ABHIPARTY,code,flat,250,AbhiBus,https://www.abhibus.com,Travel & Hotels,2026-09-14,2026-09-30,,,https://www.abhibus.com/bus-ticket-offers,https://cdn.grabon.in/gograbon/images/merchant/1773237383366/abhibus-logo.jpg,3+ seats. Min Rs.2500. Private only. Source: https://www.coupondunia.in/abhibus,0,1,0,1
"AbhiBus ABHIWAY - 15% up to Rs.150 + 15% Cashback up to Rs.150 (Once, No RTCs)","CouponDunia (46% success): save Rs.150 + 15% cashback up to Rs.150 with ABHIWAY. Not on RTCs, once per user, logged-in.",ABHIWAY,code,percentage,15,AbhiBus,https://www.abhibus.com,Travel & Hotels,2026-09-14,2026-09-30,,,https://www.abhibus.com/bus-ticket-offers,https://cdn.grabon.in/gograbon/images/merchant/1773237383366/abhibus-logo.jpg,"Once per user, logged-in, no RTCs. Source: https://www.coupondunia.in/abhibus",0,1,0,1
AbhiBus ABHIZET - Rs.100 OFF with SBM ZET Credit Card,Official AbhiBus banner: Rs.100 OFF with SBM ZET credit card via ABHIZET.,ABHIZET,code,flat,100,AbhiBus,https://www.abhibus.com,Travel & Hotels,2026-09-14,2026-09-30,,,https://www.abhibus.com/bus-ticket-offers,https://cdn.grabon.in/gograbon/images/merchant/1773237383366/abhibus-logo.jpg,SBM ZET CC only. Source: abhibus.com/bus-ticket-offers,0,1,0,1
AbhiBus APSRTC - Save Up to Rs.300 on APSRTC Bookings,"Official AbhiBus + GrabOn (6 uses): up to Rs.300 OFF APSRTC. New users 10% up to Rs.150 + 100% up to Rs.150 AbhiCash, no min. Code APSRTC on GrabOn bank table.",APSRTC,code,flat,300,AbhiBus,https://www.abhibus.com,Travel & Hotels,2026-09-14,2026-09-30,,,https://www.abhibus.com/bus-ticket-offers,https://cdn.grabon.in/gograbon/images/merchant/1773237383366/abhibus-logo.jpg,APSRTC only. Sources: abhibus.com/bus-ticket-offers + grabon.in/abhibus-coupons/,0,1,0,1
AbhiBus BUSAU200 - 10% up to Rs.200 OFF AU Bank Credit Card,"Official AbhiBus banner: 10% up to Rs.200 OFF with AU Bank credit card via BUSAU200. GrabOn: Rs.200 instant + Rs.150 extra via code, private only, once per user.",BUSAU200,code,percentage,10,AbhiBus,https://www.abhibus.com,Travel & Hotels,2026-09-14,2026-09-30,,,https://www.abhibus.com/bus-ticket-offers,https://cdn.grabon.in/gograbon/images/merchant/1773237383366/abhibus-logo.jpg,AU CC only. Max Rs.200. Private only. Source: abhibus.com/bus-ticket-offers,0,1,0,1
