title,description,code,coupon_type,discount_type,discount_value,store,store_url,category,start_date,expiry_date,original_price,sale_price,affiliate_link,image,terms_conditions,is_featured,is_verified,is_exclusive,status
Blinkit: 25% OFF First Order on App Download,"GrabOn verified: 25% OFF first order via app download. All users, see site for details.",,deal,percentage,25,Blinkit,https://blinkit.com/,Grocery,2026-09-14,2026-10-14,,,https://blinkit.com/,https://cdn.grabon.in/gograbon/images/merchant/1773237406955/blinkit-logo.jpg,First order via app. Source: https://www.grabon.in/blinkit-coupons,1,1,0,1
Blinkit: FREE Delivery on Orders Above Rs.199,"GrabOn verified (2 uses today): free delivery above Rs.199, all products, all users.",,deal,freebie,0,Blinkit,https://blinkit.com/,Grocery,2026-09-14,2026-10-14,,,https://blinkit.com/,https://cdn.grabon.in/gograbon/images/merchant/1773237406955/blinkit-logo.jpg,Min Rs.199. All users. Source: https://www.grabon.in/blinkit-coupons,1,1,0,1
Blinkit: Up to 50% OFF + Extra 5% OFF Fruits & Veggies with AUCC30 (Yes Bank),"GrabOn verified Sep 14 2026: up to 50% OFF fresh fruits & veggies + extra 5% OFF with code. Categories: fresh veg, fruits, mangoes, seasonal, exotics. Yes Bank card users.",AUCC30,code,percentage,50,Blinkit,https://blinkit.com/,Grocery,2026-09-14,2026-09-30,,,https://blinkit.com/,https://cdn.grabon.in/gograbon/images/merchant/1773237406955/blinkit-logo.jpg,"Yes Bank card required for extra 5%. All users for base 50%. Till Sep 30, 2026. Source: https://www.grabon.in/blinkit-coupons",1,1,0,1
Blinkit: Up to 50% OFF on Snacks & Munchies (From Rs.42),"GrabOn verified Sep 14 2026 (21 uses) + CouponDunia (67 uses, no code): up to 50% OFF snacks & munchies from Rs.42. All users, no code needed.",,deal,percentage,50,Blinkit,https://blinkit.com/,Grocery,2026-09-14,2026-10-14,,,https://blinkit.com/,https://cdn.grabon.in/gograbon/images/merchant/1773237406955/blinkit-logo.jpg,No code. All users. Sources: grabon.in/blinkit-coupons + coupondunia.in/blinkit-coupons,1,1,0,1
Blinkit: Up to 64% OFF Household Products + 62% OFF Essentials,"CouponDunia Sep 2026 (82% success): up to 64% OFF household (detergents, dishwash, tissues) + up to 62% OFF essentials. No code.",,deal,percentage,64,Blinkit,https://blinkit.com/,Grocery,2026-09-14,2026-10-14,,,https://blinkit.com/,https://cdn.grabon.in/gograbon/images/merchant/1773237406955/blinkit-logo.jpg,No code. All users. Source: https://www.coupondunia.in/blinkit-coupons,1,1,0,1
Blinkit: Up to 73% OFF Grocery & Staples,"CouponDunia Sep 2026: up to 73% OFF grocery & staples. No code, all users.",,deal,percentage,73,Blinkit,https://blinkit.com/,Grocery,2026-09-14,2026-10-14,,,https://blinkit.com/,https://cdn.grabon.in/gograbon/images/merchant/1773237406955/blinkit-logo.jpg,No code. Source: https://www.coupondunia.in/blinkit-coupons,1,1,0,1
Blinkit: Up to 80% OFF + Rs.200 Cashback with PAYTMUPI (Min Rs.199),"GrabOn verified Sep 14 2026 (132 uses today): up to 80% OFF on groceries & staples incl. rice, flour, oils, ghee, spices, sugar, dry fruits. Extra up to Rs.200 cashback with code. Min order Rs.199, prices from Rs.10.",PAYTMUPI,code,percentage,80,Blinkit,https://blinkit.com/,Grocery,2026-09-14,2026-09-30,,,https://blinkit.com/,https://cdn.grabon.in/gograbon/images/merchant/1773237406955/blinkit-logo.jpg,"Min order Rs.199. Cashback via Paytm. One coupon per order, codes never stack. Valid till Sep 30, 2026. Source: https://www.grabon.in/blinkit-coupons",1,1,0,1
Blinkit: 10% OFF with Axis Bank Card (No Code),"GrabOn verified + prior Axis NEO/AMEX bank benefits: 10% OFF with Axis Bank card, no code. See also AXISNEO (10% up to Rs.250, min Rs.750) and AMEXWEEKEND (Rs.150 off Saturdays, min Rs.1500, till Sep 30 2026) from bank T&Cs.",,deal,percentage,10,Blinkit,https://blinkit.com/,Grocery,2026-09-14,2026-10-14,,,https://blinkit.com/,https://cdn.grabon.in/gograbon/images/merchant/1773237406955/blinkit-logo.jpg,Axis Bank card. No code for base 10%. Bank-specific caps apply. Sources: grabon.in/blinkit-coupons + axisbank.in offers,0,1,0,1
Blinkit: Buy 1 Get 1 FREE on Detergent Powders & Bars,"CouponDunia Sep 2026 (25 uses, 56% success): B1G1 FREE on detergent powders & bars. No code.",,offer,freebie,0,Blinkit,https://blinkit.com/,Grocery,2026-09-14,2026-10-14,,,https://blinkit.com/,https://cdn.grabon.in/gograbon/images/merchant/1773237406955/blinkit-logo.jpg,B1G1 on select detergents. No code. Source: https://www.coupondunia.in/blinkit-coupons,0,1,0,1
Blinkit: Flat 10% OFF up to Rs.100 on Min Rs.499 via HSBC Card,"CouponDunia Sep 2026 (19 uses today, 48% success): flat 10% OFF up to Rs.100 on min Rs.499 via HSBC card. Use code at checkout.",HSBC10,code,percentage,10,Blinkit,https://blinkit.com/,Grocery,2026-09-14,2026-09-30,,,https://blinkit.com/,https://cdn.grabon.in/gograbon/images/merchant/1773237406955/blinkit-logo.jpg,Min Rs.499. HSBC card only. Max Rs.100. Source: https://www.coupondunia.in/blinkit-coupons,0,1,0,1
Blinkit: Flat 10% OFF up to Rs.100 on Min Rs.750 via BOB Credit Card,CouponDunia Sep 2026 (68% success): flat 10% OFF up to Rs.100 on min Rs.750 via Bank of Baroda credit card.,BOB10,code,percentage,10,Blinkit,https://blinkit.com/,Grocery,2026-09-14,2026-09-30,,,https://blinkit.com/,https://cdn.grabon.in/gograbon/images/merchant/1773237406955/blinkit-logo.jpg,Min Rs.750. BOB credit card only. Max Rs.100. Source: https://www.coupondunia.in/blinkit-coupons,0,1,0,1
Blinkit: Flat 10% OFF up to Rs.1000/month with StanC DigiSmart Card,"CouponDunia Sep 2026 (75% success): flat 10% OFF with Standard Chartered DigiSmart card. 5 transactions/month, max Rs.1000/month.",DIGISMART,code,percentage,10,Blinkit,https://blinkit.com/,Grocery,2026-09-14,2026-09-30,,,https://blinkit.com/,https://cdn.grabon.in/gograbon/images/merchant/1773237406955/blinkit-logo.jpg,"StanC DigiSmart only. 5 txn/month, Rs.1000/month cap. Source: https://www.coupondunia.in/blinkit-coupons",0,1,0,1
"Blinkit: Flat 5% Cashback via HDFC PayZapp (Min Rs.500, App 2x)","GrabOn verified: flat 5% cashback via HDFC PayZapp wallet, min Rs.500, twice per user on app. Credited to PayZapp.",,offer,cashback,5,Blinkit,https://blinkit.com/,Grocery,2026-09-14,2026-10-14,,,https://blinkit.com/,https://cdn.grabon.in/gograbon/images/merchant/1773237406955/blinkit-logo.jpg,"HDFC PayZapp wallet, app only, min Rs.500, 2x. Source: https://www.grabon.in/blinkit-coupons",0,1,0,1
Blinkit: Up to 50% OFF Ice Cream + Sweets (From Rs.20),"GrabOn verified: up to 50% OFF ice cream (Baskin-Robbins, Kwality Walls, Amul) + Sweet Tooth from Rs.20. Free shipping available.",,deal,percentage,50,Blinkit,https://blinkit.com/,Grocery,2026-09-14,2026-10-14,,,https://blinkit.com/,https://cdn.grabon.in/gograbon/images/merchant/1773237406955/blinkit-logo.jpg,No code. Source: https://www.grabon.in/blinkit-coupons,0,1,0,1
Blinkit: Up to 50% OFF Pet Care + Up to 65% OFF Baby Care,"GrabOn verified Sep 14 2026: up to 50% OFF pet care (food, grooming) + up to 65% OFF baby care (Pampers, MamyPoko, Himalaya from Rs.72). No code.",,deal,percentage,50,Blinkit,https://blinkit.com/,Grocery,2026-09-14,2026-10-14,,,https://blinkit.com/,https://cdn.grabon.in/gograbon/images/merchant/1773237406955/blinkit-logo.jpg,No code. All users. Source: https://www.grabon.in/blinkit-coupons,0,1,0,1
Blinkit: Up to 50% OFF Pooja Essentials (From Rs.10),"GrabOn verified: up to 50% OFF pooja essentials (Deepam oil, camphor, ghee) from Rs.10. All users.",,deal,percentage,50,Blinkit,https://blinkit.com/,Grocery,2026-09-14,2026-10-14,,,https://blinkit.com/,https://cdn.grabon.in/gograbon/images/merchant/1773237406955/blinkit-logo.jpg,No code. Source: https://www.grabon.in/blinkit-coupons,0,1,0,1
"Blinkit: Up to Rs.100 Cashback via Paytm (Min Rs.750, 2x)","GrabOn verified: up to Rs.100 cashback paying via Paytm, min Rs.750, twice per customer.",,offer,cashback,100,Blinkit,https://blinkit.com/,Grocery,2026-09-14,2026-10-14,,,https://blinkit.com/,https://cdn.grabon.in/gograbon/images/merchant/1773237406955/blinkit-logo.jpg,Paytm only. Min Rs.750. 2x per customer. Source: https://www.grabon.in/blinkit-coupons,0,1,0,1
Blinkit: Up to Rs.50 OFF on BHIM Rupay CC UPI (Min Rs.599),"GrabOn verified Sep 14 2026: up to Rs.50 OFF on min cart Rs.599 via Rupay Credit Cards on UPI on BHIM app. Excludes gold/silver coins, gift cards, tobacco, baby needs.",BHIMRUPAYCC,code,flat,50,Blinkit,https://blinkit.com/,Grocery,2026-09-14,2026-09-30,,,https://blinkit.com/,https://cdn.grabon.in/gograbon/images/merchant/1773237406955/blinkit-logo.jpg,"Min Rs.599. Rupay CC on BHIM UPI only. Exclusions apply. Till Sep 30, 2026. Source: https://www.grabon.in/blinkit-coupons",0,1,0,1
