title,description,code,coupon_type,discount_type,discount_value,store,store_url,category,start_date,expiry_date,original_price,sale_price,affiliate_link,image,terms_conditions,is_featured,is_verified,is_exclusive,status
Cetaphil Sitewide - Up To 50% OFF + Extra 5% OFF with New5,"Get up to 50% OFF on Cetaphil sitewide on cetaphil.in + extra 5% OFF using code New5 at checkout. Valid on Cleansers, Moisturizers, Serums, Baby range. For all users.",New5,code,percentage,5,Cetaphil,https://www.cetaphil.in,Beauty & Health,2026-09-02,2026-10-02,,,https://www.cetaphil.in/products-3,https://www.cetaphil.in/dw/image/v2/BGGN_PRD/on/demandware.static/-/Sites-galderma-in-m-catalog/default/dw311450bb/GSC%20Revive%20A+/236%20ml/ATF/1.FoP-236.png?sw=900,"Coupon New5 gives extra 5% on top of up to 50% sitewide sale. Valid till Sep 30, 2026. All users. Apply at cart: Enter your coupon. Free shipping on Rs.500+.",1,1,0,1
Cetaphil Up To 20% OFF on Sunscreens + Extra 5% with New5,"Save up to 20% OFF on Cetaphil Sunscreens (Daily Hydrator SPF 50, SPF 50+ etc.) + extra 5% OFF with code New5. Free shipping.",New5,code,percentage,5,Cetaphil,https://www.cetaphil.in,Beauty & Health,2026-09-02,2026-10-02,,,https://www.cetaphil.in/sunscreens,https://www.cetaphil.in/dw/image/v2/BGGN_PRD/on/demandware.static/-/Sites-Galderma-IN-Library/default/dw746e6dc3/2025Rebranding/Homepage/Sunscreen-.jpg?sw=231,"Sunscreen range up to 20% OFF + New5 extra 5%. Valid till Sep 30, 2026.",1,1,0,1
Cetaphil BESTSELLER10 - Up To 10% OFF No Minimum,Use code BESTSELLER10 for up to 10% OFF on all Cetaphil bestsellers. No minimum cart. Valid for all users on cetaphil.in.,BESTSELLER10,code,percentage,10,Cetaphil,https://www.cetaphil.in,Beauty & Health,2026-09-02,2026-10-02,,,https://www.cetaphil.in/products-3,https://www.cetaphil.in/dw/image/v2/BGGN_PRD/on/demandware.static/-/Sites-galderma-in-m-catalog/default/dw833193a5/GSC%20Revive%20A+/236%20ml/ATF/2.%20BoP%20Both.jpg?sw=900,"BESTSELLER10 valid on bestsellers. No min cart. Till Sep 30, 2026. Verified 34 uses today on GrabOn.",1,1,0,1
Cetaphil Extra 5% OFF on Orders Above Rs.1499 - extra5,"Get extra 5% OFF on orders above Rs.1499 with code extra5 on cetaphil.in. Shop cleansers, moisturizers, serums.",extra5,code,percentage,5,Cetaphil,https://www.cetaphil.in,Beauty & Health,2026-09-02,2026-10-02,1499.00,,https://www.cetaphil.in/products-3,https://www.cetaphil.in/dw/image/v2/BGGN_PRD/on/demandware.static/-/Sites-Galderma-IN-Library/default/dw311450bb/GSC%20Revive%20A+/236%20ml/ATF/1.FoP-236.png?sw=900,Minimum cart Rs.1499. Code extra5 at checkout. Verified 6 uses today.,0,1,0,1
Cetaphil Gentle Skin Cleanser - Best Seller Deal,Cetaphil Gentle Skin Cleanser (236ml) for dry to sensitive skin with Niacinamide + Panthenol. Dermatologist tested. Grab with New5 extra 5% on cetaphil.in.,,deal,percentage,20,Cetaphil,https://www.cetaphil.in,Beauty & Health,2026-09-02,2026-10-02,799.00,639.00,https://www.cetaphil.in/products/cleansers/gentle-skin-cleanser/8906005274105.html,https://www.cetaphil.in/dw/image/v2/BGGN_PRD/on/demandware.static/-/Sites-galderma-in-m-catalog/default/dw311450bb/GSC%20Revive%20A+/236%20ml/ATF/1.FoP-236.png?sw=900&sh=900&sm=fit&q=85,Price may vary. Use New5 for extra 5% at cetaphil.in. Free shipping on Rs.500+.,1,1,0,1
Cetaphil Moisturising Lotion 250ml - Hydration Deal,"Cetaphil Moisturising Lotion for dry sensitive skin with Avocado Oil, Glycerin. Lightweight, non-greasy. Deal on cetaphil.in.",,deal,percentage,15,Cetaphil,https://www.cetaphil.in,Beauty & Health,2026-09-02,2026-10-02,945.00,803.00,https://www.cetaphil.in/products-1/cetaphil-moisturising-lotion/8906005271623.html,https://www.cetaphil.in/dw/image/v2/BGGN_PRD/on/demandware.static/-/Sites-galderma-in-m-catalog/default/dwa8a4dc14/2025Rebranding/Homepage/Body%20Moisturizers_.jpg?sw=231,Beauty & Health - Sensitive skin experts. Apply New5 at checkout for extra 5%.,1,1,0,1
Cetaphil Daily Hydrator with Hyaluronic Acid - 15% OFF,Daily Hydrator 88g with Hyaluronic Acid for dehydrated sensitive skin. Instant 24H hydration. Offer on cetaphil.in.,,deal,percentage,15,Cetaphil,https://www.cetaphil.in,Beauty & Health,2026-09-02,2026-10-02,875.00,744.00,https://www.cetaphil.in/products-3,https://www.cetaphil.in/dw/image/v2/BGGN_PRD/on/demandware.static/-/Sites-Galderma-IN-Library/default/dw38ce51f7/2025Rebranding/Homepage/Facial%20Moisturizers.jpg?sw=231,Up to 15% OFF + New5 extra. Free shipping Rs.500+.,0,1,0,1
Cetaphil Baby Daily Lotion with Organic Calendula - 10% OFF,"Cetaphil Baby Daily Lotion 400ml with Organic Calendula, Sweet Almond Oil. Gentle for baby sensitive skin. Paraben-free.",,deal,percentage,10,Cetaphil,https://www.cetaphil.in,Beauty & Health,2026-09-02,2026-10-02,995.00,895.00,https://www.cetaphil.in/baby-skincare/baby-daily-lotion/IN_9318637043316.html,https://www.cetaphil.in/dw/image/v2/BGGN_PRD/on/demandware.static/-/Sites-Galderma-IN-Library/default/dw19fbfad2/2025Rebranding/Homepage/baby-skin.png?sw=231,Baby Skincare range. Use New5 for extra 5% at checkout.,0,1,0,1
Cetaphil Bright Healthy Radiance Range - Up To 25% OFF,"Bright Healthy Radiance with Niacinamide + Sea Daffodil for uneven tone/dark spots. Cleanser, Cream, Serum combo.",New5,code,percentage,5,Cetaphil,https://www.cetaphil.in,Beauty & Health,2026-09-02,2026-10-02,,,https://www.cetaphil.in/product-range/healthy-radiance,https://www.cetaphil.in/dw/image/v2/BGGN_PRD/on/demandware.static/-/Sites-Galderma-IN-Library/default/dw4e57008a/2025Rebranding/Skincare-Guides_5-Tips-for-sensitive-skin%20-%20Copy.jpg?sw=500,Up to 25% OFF on Healthy Radiance + New5 extra 5%. Till Sep 30.,0,1,0,1
Cetaphil Free Shipping on Orders Above Rs.500,Free standard shipping on cetaphil.in orders above Rs.500. Delivered in 3-7 days. No code needed - auto applied.,,deal,freebie,Free Shipping,Cetaphil,https://www.cetaphil.in,Beauty & Health,2026-09-02,2026-10-02,,,https://www.cetaphil.in/products-3,https://www.cetaphil.in/on/demandware.static/-/Sites-Galderma-IN-Library/default/dw06a8dc07/footer/cetaphil-brand-logo.svg,Free shipping on Rs.500+ across India. 1-2 days processing. No code needed.,0,1,0,1
Cetaphil Oily Skin Cleanser - Acne Control Deal,Cetaphil Oily Skin Cleanser for oily/combination sensitive skin. Removes excess oil without drying. Dermatologist recommended.,,deal,percentage,18,Cetaphil,https://www.cetaphil.in,Beauty & Health,2026-09-02,2026-10-02,650.00,533.00,https://www.cetaphil.in/products/cleansers/oily-skin-cleanser/8906005274090.html,https://www.cetaphil.in/dw/image/v2/BGGN_PRD/on/demandware.static/-/Sites-galderma-in-m-catalog/default/dw833193a5/GSC%20Revive%20A+/236%20ml/ATF/2.%20BoP%20Both.jpg?sw=900,Use New5 for extra 5% on cetaphil.in. 70% users report reduced oiliness.,0,1,0,1
Cetaphil SPF 50+ Sunscreen - Up To 17% OFF,"Cetaphil Daily Hydrator SPF 50+ Very High Protection with Glycerin. Lightweight, non-sticky for sensitive skin. From Rs.1005.",,deal,percentage,17,Cetaphil,https://www.cetaphil.in,Beauty & Health,2026-09-02,2026-10-02,1200.00,1005.00,https://www.cetaphil.in/sunscreens/cetaphil-spf-50%2B-sunscreen/3499320013192.html,https://www.cetaphil.in/dw/image/v2/BGGN_PRD/on/demandware.static/-/Sites-Galderma-IN-Library/default/dw746e6dc3/2025Rebranding/Homepage/Sunscreen-.jpg?sw=231,Sunscreens from Rs.1005 + New5 extra 5%. Verified 2 uses today.,0,1,0,1
