title,description,code,coupon_type,discount_type,discount_value,store,store_url,category,start_date,expiry_date,original_price,sale_price,affiliate_link,image,terms_conditions,is_featured,is_verified,is_exclusive,status
AbhiBus ABHI500 - Save Rs.500 (New 10% up to 250 + Cashback / Existing Cashback),"CouponDunia (25 uses, 73% success): save Rs.500. New: 10% up to Rs.250 instant + 100% up to Rs.250 AbhiCash. Existing: up to Rs.500 AbhiCash (redeem 5% up to Rs.25 future). No min, logged-in, private only, once per user.",ABHI500,code,flat,500,AbhiBus,https://www.abhibus.com,Travel & Hotels,2026-09-14,2026-09-30,,,https://www.abhibus.com/bus-ticket-offers,https://cdn.grabon.in/gograbon/images/merchant/1773237383366/abhibus-logo.jpg,"Logged-in, once per user, private only. Source: https://www.coupondunia.in/abhibus",1,1,0,1
AbhiBus ABHIFIRST - Up to Rs.500 OFF 1st Booking (15% up to 150 + Cashback),"Official AbhiBus + CouponDunia (67% success): up to Rs.500 OFF 1st booking - 15% up to Rs.150 instant + 10% up to Rs.225 cashback + Rs.125 voucher chance. New users, private only.",ABHIFIRST,code,flat,500,AbhiBus,https://www.abhibus.com,Travel & Hotels,2026-09-14,2026-09-30,,,https://www.abhibus.com/bus-ticket-offers,https://cdn.grabon.in/gograbon/images/merchant/1773237383366/abhibus-logo.jpg,"New users, 1st booking, private only. Till Sep 30, 2026. Sources: abhibus.com/bus-ticket-offers + coupondunia.in/abhibus",1,1,0,1
"AbhiBus ADMABHI9 - Rs.150 OFF + Rs.150 Cashback (New, Min Rs.400, Private)","CouponDunia (89 uses today, 77% success): Rs.150 OFF + Rs.150 AbhiCash with ADMABHI9. New users, min Rs.400 ex-tax/fee, private only.",ADMABHI9,code,flat,300,AbhiBus,https://www.abhibus.com,Travel & Hotels,2026-09-14,2026-09-30,,,https://www.abhibus.com/bus-ticket-offers,https://cdn.grabon.in/gograbon/images/merchant/1773237383366/abhibus-logo.jpg,New users. Min Rs.400. Private only. Source: https://www.coupondunia.in/abhibus,1,1,0,1
"AbhiBus GRAB400 - 15% up to Rs.150 + Rs.150 Cashback (1st Booking, Min Rs.400)","GrabOn exclusive (654 uses today, 100% success, validated Sep 14 2026): 15% up to Rs.150 instant + Rs.150 AbhiCash cashback with GRAB400. Min Rs.400 ex-fees/tax. 1st booking, private buses only, not RTCs.",GRAB400,code,percentage,15,AbhiBus,https://www.abhibus.com,Travel & Hotels,2026-09-14,2026-09-30,,,https://www.abhibus.com/bus-ticket-offers,https://cdn.grabon.in/gograbon/images/merchant/1773237383366/abhibus-logo.jpg,"1st booking. Min Rs.400. Private only, not RTCs. Once per user. Till Sep 30, 2026. Source: https://www.grabon.in/abhibus-coupons/",1,1,1,1
AbhiBus Ganesh Utsav Sale - 20% up to Rs.250 + 20% Cashback up to Rs.250,Official AbhiBus Sep 2026 banner (1789048504): Ganesh Utsav Sale - 20% up to Rs.250 OFF + 20% cashback up to Rs.250 on bus bookings. Also Assured variant same value.,,deal,percentage,20,AbhiBus,https://www.abhibus.com,Travel & Hotels,2026-09-14,2026-10-14,,,https://www.abhibus.com/bus-ticket-offers,https://cdn.grabon.in/gograbon/images/merchant/1773237383366/abhibus-logo.jpg,Limited festive period Sep 2026. Source: https://www.abhibus.com/bus-ticket-offers,1,1,0,1
Blinkit: 25% OFF First Order on App Download,"GrabOn verified: 25% OFF first order via app download. All users, see site for details.",,deal,percentage,25,Blinkit,https://blinkit.com/,Grocery,2026-09-14,2026-10-14,,,https://blinkit.com/,https://cdn.grabon.in/gograbon/images/merchant/1773237406955/blinkit-logo.jpg,First order via app. Source: https://www.grabon.in/blinkit-coupons,1,1,0,1
Blinkit: FREE Delivery on Orders Above Rs.199,"GrabOn verified (2 uses today): free delivery above Rs.199, all products, all users.",,deal,freebie,0,Blinkit,https://blinkit.com/,Grocery,2026-09-14,2026-10-14,,,https://blinkit.com/,https://cdn.grabon.in/gograbon/images/merchant/1773237406955/blinkit-logo.jpg,Min Rs.199. All users. Source: https://www.grabon.in/blinkit-coupons,1,1,0,1
Blinkit: Up to 50% OFF + Extra 5% OFF Fruits & Veggies with AUCC30 (Yes Bank),"GrabOn verified Sep 14 2026: up to 50% OFF fresh fruits & veggies + extra 5% OFF with code. Categories: fresh veg, fruits, mangoes, seasonal, exotics. Yes Bank card users.",AUCC30,code,percentage,50,Blinkit,https://blinkit.com/,Grocery,2026-09-14,2026-09-30,,,https://blinkit.com/,https://cdn.grabon.in/gograbon/images/merchant/1773237406955/blinkit-logo.jpg,"Yes Bank card required for extra 5%. All users for base 50%. Till Sep 30, 2026. Source: https://www.grabon.in/blinkit-coupons",1,1,0,1
Blinkit: Up to 50% OFF on Snacks & Munchies (From Rs.42),"GrabOn verified Sep 14 2026 (21 uses) + CouponDunia (67 uses, no code): up to 50% OFF snacks & munchies from Rs.42. All users, no code needed.",,deal,percentage,50,Blinkit,https://blinkit.com/,Grocery,2026-09-14,2026-10-14,,,https://blinkit.com/,https://cdn.grabon.in/gograbon/images/merchant/1773237406955/blinkit-logo.jpg,No code. All users. Sources: grabon.in/blinkit-coupons + coupondunia.in/blinkit-coupons,1,1,0,1
Blinkit: Up to 64% OFF Household Products + 62% OFF Essentials,"CouponDunia Sep 2026 (82% success): up to 64% OFF household (detergents, dishwash, tissues) + up to 62% OFF essentials. No code.",,deal,percentage,64,Blinkit,https://blinkit.com/,Grocery,2026-09-14,2026-10-14,,,https://blinkit.com/,https://cdn.grabon.in/gograbon/images/merchant/1773237406955/blinkit-logo.jpg,No code. All users. Source: https://www.coupondunia.in/blinkit-coupons,1,1,0,1
