title,description,code,coupon_type,discount_type,discount_value,store,store_url,category,start_date,expiry_date,original_price,sale_price,affiliate_link,image,terms_conditions,is_featured,is_verified,is_exclusive,status
Hostinger Business - 83% OFF,"More power for growing sites. Unlimited websites, Daily backups, Free CDN, Enhanced performance, Free domain 1 year.",,deal,percentage,83,Hostinger,https://www.hostinger.com/in?REFERRALCODE=PJFCHAHATM4D,Web Hosting,2026-09-02,2026-10-02,699.00,199.00,https://www.hostinger.com/in?REFERRALCODE=PJFCHAHATM4D,https://www.hostinger.com/cdn-cgi/imagedelivery/LqiWLm-3MGbYHtFuUbcBtA/3fc114d2-0a8c-4dc0-ddc7-f83749a96d00/public,Coupon COUPONSPAGE auto-applied at checkout. 30-day money-back guarantee. Price may change anytime. For new customers on 12/48 month plans.,1,1,0,1
Hostinger Coupon Code - Extra 10% OFF on All Plans,"Use code COUPONSPAGE at checkout for extra discount on top of listed prices. Valid on Web Hosting, Cloud & VPS.",COUPONSPAGE,code,percentage,10,Hostinger,https://www.hostinger.com/in?REFERRALCODE=PJFCHAHATM4D,Web Hosting,2026-09-02,2026-10-17,,,https://www.hostinger.com/in?REFERRALCODE=PJFCHAHATM4D,https://www.hostinger.com/in/logo-400x400.png,One coupon per order. Auto-applied if you click Use coupon. Cannot combine with other codes.,1,1,1,1
Hostinger KODEE10 - 10% OFF on 24 & 48-Month Plans,"Verified: KODEE10 gives 10% OFF on 24-month and 48-month Hostinger plans. Best value on long-term. Works on Web Hosting, Cloud, VPS, Website Builder.",KODEE10,code,percentage,10,Hostinger,https://www.hostinger.com/in?REFERRALCODE=PJFCHAHATM4D,Web Hosting,2026-09-02,2026-11-01,,,https://www.hostinger.com/in?REFERRALCODE=PJFCHAHATM4D,https://www.hostinger.com/in/logo-400x400.png,KODEE10 works on 24M and 48M billing terms only. Does NOT work on 12M or monthly (use KODEE5 for 12M). Stacks on top of base sale (up to 83% OFF). One per order.,1,1,1,1
Hostinger KODEE5 - 5% OFF on 12-Month Plans,"Verified: KODEE5 gives 5% OFF on 12-month Hostinger plans (Web Hosting, WordPress, Cloud, VPS). Apply at checkout on 12-month billing term only. Does NOT work on 24/48-month (use KODEE10 instead). Stacks on sale price.",KODEE5,code,percentage,5,Hostinger,https://www.hostinger.com/in?REFERRALCODE=PJFCHAHATM4D,Web Hosting,2026-09-02,2026-11-01,,,https://www.hostinger.com/in?REFERRALCODE=PJFCHAHATM4D,https://www.hostinger.com/in/logo-400x400.png,"KODEE5 works ONLY on 12-month term (12M). Valid for new purchases on Shared, Cloud, WordPress, VPS 12M. One coupon per order. Verified Feb 2026 via Hostinger coupons.",1,1,1,1
Hostinger Premium - 76% OFF,"76% OFF - Was Rs.599.00, now Rs.141.55/mo. Run websites smoothly for creators. 100 websites, Free domain 1 year, 100 GB SSD, Free weekly backups, Free SSL, AI tools. Renews at Rs.449/mo.",,deal,percentage,76,Hostinger,https://www.hostinger.com/in?REFERRALCODE=PJFCHAHATM4D,Web Hosting,2026-09-02,2026-10-02,599.00,141.55,https://www.hostinger.com/in?REFERRALCODE=PJFCHAHATM4D,https://www.hostinger.com/in/logo-400x400.png,Coupon COUPONSPAGE auto-applied at checkout. 30-day money-back guarantee. Price may change anytime. For new customers on 12/48 month plans.,1,1,0,1
Hostinger Premium 48M - Extra 10% OFF with KODEE10,"76% OFF base + extra 10% with KODEE10 on 48-month Premium. Ultimate savings: Rs.599 -> Rs.141.55/mo + extra 10%. 100 websites, Free domain, AI tools.",KODEE10,code,percentage,10,Hostinger,https://www.hostinger.com/in?REFERRALCODE=PJFCHAHATM4D,Web Hosting,2026-09-02,2026-11-01,599.00,141.55,https://www.hostinger.com/in?REFERRALCODE=PJFCHAHATM4D,https://www.hostinger.com/in/logo-400x400.png,KODEE10 for 48M Premium transfers max discount (~85% total). Renews at Rs.449/mo.,1,1,0,1
Hostinger Single - 83% OFF,"83% OFF - Was Rs.399.00, now Rs.69.00/mo. Get your first website online. Best for beginners. 1 website, Free domain, 10 GB SSD, Weekly backups, Free SSL, AI Builder. Renews at Rs.289/mo. 30-day money-back guarantee.",,deal,percentage,83,Hostinger,https://www.hostinger.com/in?REFERRALCODE=PJFCHAHATM4D,Web Hosting,2026-09-02,2026-10-02,399.00,69.00,https://www.hostinger.com/in?REFERRALCODE=PJFCHAHATM4D,https://www.hostinger.com/in/logo-400x400.png,Coupon COUPONSPAGE auto-applied at checkout. 30-day money-back guarantee. Price may change anytime. For new customers on 12/48 month plans.,1,1,0,1
Hostinger AI Builder - 66% OFF,"66% OFF - Was Rs.699.00, now Rs.236.55/mo. Hostinger AI Builder hosting with 66% OFF. Free domain + SSL + 30-day money-back guarantee. Auto-applied coupon COUPONSPAGE.",,deal,percentage,66,Hostinger,https://www.hostinger.com/in?REFERRALCODE=PJFCHAHATM4D,Web Hosting,2026-09-02,2026-10-02,699.00,236.55,https://www.hostinger.com/in?REFERRALCODE=PJFCHAHATM4D,https://www.hostinger.com/in/logo-400x400.png,Coupon COUPONSPAGE auto-applied at checkout. 30-day money-back guarantee. Price may change anytime. For new customers on 12/48 month plans.,0,1,0,1
Hostinger Business Web Hosting - 71% OFF + KODEE10,"Business plan 71% OFF base + KODEE10 extra 10% on 48M. Unlimited websites, Daily backups, Free CDN, 100GB SSD.",KODEE10,code,percentage,10,Hostinger,https://www.hostinger.com/in?REFERRALCODE=PJFCHAHATM4D,Web Hosting,2026-09-02,2026-11-01,699.00,199.00,https://www.hostinger.com/in?REFERRALCODE=PJFCHAHATM4D,https://www.hostinger.com/in/logo-400x400.png,Works on Business 24M/48M. KODEE5 if you choose 12M instead.,0,1,0,1
Hostinger Cloud Professional - 62% OFF + KODEE10,"Cloud Professional 62% OFF base + KODEE10 10% extra. 300 websites, 200GB NVMe, Dedicated resources, Daily backups.",KODEE10,code,percentage,10,Hostinger,https://www.hostinger.com/in?REFERRALCODE=PJFCHAHATM4D,Web Hosting,2026-09-02,2026-11-01,2499.00,949.00,https://www.hostinger.com/in?REFERRALCODE=PJFCHAHATM4D,https://www.hostinger.com/cdn-cgi/imagedelivery/LqiWLm-3MGbYHtFuUbcBtA/94fa8b34-d55e-4c7a-ec50-a443f2a35600/public,KODEE10 valid on Cloud 24M/48M. Free domain + SSL.,0,1,0,1
Hostinger Cloud Startup - 67% OFF,"67% OFF - Was Rs.1699.00, now Rs.569.05/mo. Dedicated power for agencies. Unlimited websites, 100 GB NVMe, Daily & on-demand backups, Free domain, Priority support.",,deal,percentage,67,Hostinger,https://www.hostinger.com/in?REFERRALCODE=PJFCHAHATM4D,Web Hosting,2026-09-02,2026-10-02,1699.00,569.05,https://www.hostinger.com/in?REFERRALCODE=PJFCHAHATM4D,https://www.hostinger.com/in/logo-400x400.png,Coupon COUPONSPAGE auto-applied at checkout. 30-day money-back guarantee. Price may change anytime. For new customers on 12/48 month plans.,0,1,0,1
Hostinger Domain Special - Free Domain + KODEE5,Free domain 1 year with Premium/Business/Cloud 12M+ plans. .com .in .net included. Renewal covered by coupon KODEE10 10% when buying 48M hosting.,,deal,freebie,Free Domain,Hostinger,https://www.hostinger.com/in?REFERRALCODE=PJFCHAHATM4D,Web Hosting,2026-09-02,2026-10-02,1499.00,0.00,https://www.hostinger.com/in?REFERRALCODE=PJFCHAHATM4D,https://www.hostinger.com/in/logo-400x400.png,Free domain on 12M+ hosting purchase. KODEE5/KODEE10 add extra % OFF.,0,1,0,1
Hostinger Premium Web Hosting 12M - 5% OFF with KODEE5,"76% OFF base + extra 5% OFF with KODEE5 on 12-month Premium (100 websites, Free domain 1yr, 100GB SSD). Verified Feb 2026.",KODEE5,code,percentage,5,Hostinger,https://www.hostinger.com/in?REFERRALCODE=PJFCHAHATM4D,Web Hosting,2026-09-02,2026-10-17,599.00,249.00,https://www.hostinger.com/in?REFERRALCODE=PJFCHAHATM4D,https://www.hostinger.com/in/logo-400x400.png,KODEE5 valid for 12M Premium only. Free domain included on 12M+.,0,1,0,1
